Candidate,Parameters,Mean_CV_AP,SD_CV_AP,Mean_fit_AP,Mean_CV_ROC_AUC,Mean_fit_seconds,Fold_0_AP,Fold_1_AP,Fold_2_AP,Fold_3_AP,Fold_4_AP
10,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",0.5645009467184018,0.01348016722937375,0.6797850388482004,0.7795503176376652,13.349472284317017,0.5762417428721208,0.5662892270244693,0.5692680601435549,0.5694190300200412,0.5412866735318225
11,"{""class_weight"": null, ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 150}",0.551085161662146,0.017648614259269328,0.961737615317466,0.7726874249644713,7.477975177764892,0.5668970259905117,0.5502067743863304,0.5640580287755558,0.551921012870924,0.5223429662874086
12,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 5, ""n_estimators"": 300}",0.5564592465632716,0.014079950823272685,0.8960069285794132,0.7790428085234353,8.91758074760437,0.5677689668956277,0.5618732121498327,0.5661281162096122,0.5531115404665272,0.5334143970947586
13,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",0.5647128952197882,0.013251955856346405,0.6826454677731861,0.7800710781112731,13.538270044326783,0.5736765257674388,0.5686970908620115,0.5730362408236994,0.566541806741192,0.5416128119045995
14,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",0.5355856344371289,0.009310625642494453,0.5525117791811216,0.7724272902573297,4.53734827041626,0.5387674557218345,0.5424537963946239,0.543071923168455,0.5331282205850731,0.5205067763156577
15,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",0.5556533098233208,0.013508345680933951,0.7965204271980311,0.7794110631854487,6.1066648960113525,0.5689693739358962,0.5589569272823868,0.5628499520246985,0.5539006849086084,0.5335896109650141
16,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",0.5601209846856158,0.015944663495920393,0.8208354997625642,0.7777201306505246,18.335439920425415,0.5739409808134924,0.5610815159195747,0.5691268939081506,0.5634101670460104,0.5330453657408504
17,"{""class_weight"": null, ""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",0.5570097096792209,0.011908442999788275,0.5748355440494404,0.7743058859325261,4.31364254951477,0.5632915885694645,0.56583501920696,0.5595809787050405,0.5601500597242347,0.536190902190405
18,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 150}",0.5490035500735937,0.01586021680404632,0.9967757412679775,0.7710150681349648,11.773414134979248,0.5656055970710251,0.5487580036090025,0.5610909657657396,0.5442648363292605,0.5252983475929408
19,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",0.5591663357681642,0.014932391427063766,0.8397560832453985,0.778764901263831,18.78194217681885,0.5724719600766721,0.5603034869245077,0.5691963672207383,0.5594501526306809,0.5344097119882223
20,"{""class_weight"": null, ""max_depth"": 4, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 150}",0.5569212907557681,0.014599338244053803,0.5787040548134325,0.7735543624482526,3.4968679904937745,0.562112804509125,0.5651901101345873,0.5626698705162338,0.5637439488333883,0.5308897197855061
21,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",0.5566909739731072,0.015195390295556619,0.8016786593621689,0.7797309008397979,7.11883282661438,0.5700176011015966,0.5601349197851686,0.5646257739892209,0.5578660554887812,0.5308105195007687
22,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 500}",0.5563209538855174,0.013881612572977061,0.8338144609699075,0.7781531940930163,14.295012617111206,0.569717616167273,0.558894517847466,0.5651294055983488,0.5539346798508851,0.5339285499636147
23,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",0.5497881406612013,0.013788643944195498,0.5672804014400161,0.7742237767094907,8.552134037017822,0.5573153004897453,0.5555762095760338,0.5549004351594945,0.555976076495249,0.5251726815854837
